edition,year,venue,round,team 1,team 2,score,score_halftime
1984-FRANCE,1983,Budapest,QUALIFYING,Hungary (Magyarország),England,0-3,0-3
1984-FRANCE,1983,Lemesós,QUALIFYING,Cyprus (Κύπρος),Romania (România),0-1,0-0
1984-FRANCE,1983,Split,QUALIFYING,Yugoslavia (Југославија),Bulgaria (България),3-2,1-1
1984-FRANCE,1983,Belfast,QUALIFYING,Northern Ireland (Ulster),Turkey (Türkiye),2-1,2-0
1984-FRANCE,1983,Lemesós,QUALIFYING,Cyprus (Κύπρος),Italy (Italia),1-1,0-0
1984-FRANCE,1983,Stockholm,QUALIFYING,Sweden (Sverige),Romania (România),0-1,0-1
1984-FRANCE,1983,Tiranë,QUALIFYING,Albania (Shqipëri),Austria (Österreich),1-2,0-1
1984-FRANCE,1983,Reykjavík,QUALIFYING,Iceland (Ísland),Malta,1-0,1-0
1984-FRANCE,1983,København,QUALIFYING,Denmark (Danmark),Hungary (Magyarország),3-1,1-1
1984-FRANCE,1983,Helsinki,QUALIFYING,Finland (Suomi),Soviet Union (СССР),0-1,0-0
1984-FRANCE,1983,Reykjavík,QUALIFYING,Iceland (Ísland),Spain (España),0-1,0-1
1984-FRANCE,1983,Göteborg,QUALIFYING,Sweden (Sverige),Italy (Italia),2-0,1-0
1984-FRANCE,1983,Chorzów,QUALIFYING,Poland (Polska),Soviet Union (СССР),1-1,1-0
1984-FRANCE,1983,TaQali,QUALIFYING,Malta,Spain (España),2-3,1-1
1984-FRANCE,1983,Bucureşti,QUALIFYING,Romania (România),Czechoslovakia (Československo),0-1,0-1
1984-FRANCE,1983,Malmö,QUALIFYING,Sweden (Sverige),Cyprus (Κύπρος),5-0,0-0
1984-FRANCE,1982,Lisboa,QUALIFYING,Portugal,Poland (Polska),2-1,1-0
1984-FRANCE,1983,Budapest,QUALIFYING,Hungary (Magyarország),Greece (Ελλάδα),2-3,1-2
1984-FRANCE,1983,Tiranë,QUALIFYING,Albania (Shqipëri),Turkey (Türkiye),1-1,0-1
1984-FRANCE,1983,Zaragoza,QUALIFYING,Spain (España),Ireland (Éire),2-0,0-0
1984-FRANCE,1983,Belfast,QUALIFYING,Northern Ireland (Ulster),Albania (Shqipëri),1-0,0-0
1984-FRANCE,1983,Wien,QUALIFYING,Austria (Österreich),FRG (BRD / Westdeutschland),0-0,0-0
1984-FRANCE,1983,Wrexham,QUALIFYING,Wales (Cymru),Bulgaria (България),1-0,0-0
1984-FRANCE,1983,London,QUALIFYING,England,Hungary (Magyarország),2-0,1-0
1984-FRANCE,1983,København,QUALIFYING,Denmark (Danmark),Greece (Ελλάδα),1-0,0-0
1984-FRANCE,1983,Thessaloníkê,QUALIFYING,Greece (Ελλάδα),Hungary (Magyarország),2-2,1-2
1984-FRANCE,1983,Athína,QUALIFYING,Greece (Ελλάδα),Luxembourg (Lëtzebuerg),1-0,1-0
1984-FRANCE,1983,Cardiff,QUALIFYING,Wales (Cymru),Yugoslavia (Југославија),1-1,0-0
1984-FRANCE,1983,Rotterdam,QUALIFYING,Netherlands (Nederland),Malta,5-0,2-0
1984-FRANCE,1983,Bern,QUALIFYING,Switzerland (Schweiz / Suisse),GDR (DDR / Ostdeutschland),0-0,0-0
1984-FRANCE,1982,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Greece (Ελλάδα),0-2,0-2
1984-FRANCE,1982,Bratislava,QUALIFYING,Czechoslovakia (Československo),Sweden (Sverige),2-2,0-0
1984-FRANCE,1982,Bruxelles,QUALIFYING,Belgium (België),Switzerland (Schweiz / Suisse),3-0,1-0
1984-FRANCE,1983,Sevilla,QUALIFYING,Spain (España),Netherlands (Nederland),1-0,1-0
1984-FRANCE,1983,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Hungary (Magyarország),2-6,1-2
1984-FRANCE,1983,Levkosía,QUALIFYING,Cyprus (Κύπρος),Czechoslovakia (Československo),1-1,1-0
1984-FRANCE,1983,Leipzig,QUALIFYING,GDR (DDR / Ostdeutschland),Belgium (België),1-2,0-1
1984-FRANCE,1983,Glasgow,QUALIFYING,Scotland,Switzerland (Schweiz / Suisse),2-2,0-1
1984-FRANCE,1983,London,QUALIFYING,England,Greece (Ελλάδα),0-0,0-0
1984-FRANCE,1983,Tiranë,QUALIFYING,Albania (Shqipëri),FRG (BRD / Westdeutschland),1-2,0-0
1984-FRANCE,1983,TaQali,QUALIFYING,Malta,Ireland (Éire),0-1,0-0
1984-FRANCE,1983,Praha,QUALIFYING,Czechoslovakia (Československo),Cyprus (Κύπρος),6-0,3-0
1984-FRANCE,1983,Bucureşti,QUALIFYING,Romania (România),Italy (Italia),1-0,1-0
1984-FRANCE,1983,Warszawa,QUALIFYING,Poland (Polska),Finland (Suomi),1-1,1-1
1984-FRANCE,1983,Budapest,QUALIFYING,Hungary (Magyarország),Luxembourg (Lëtzebuerg),6-2,3-0
1984-FRANCE,1982,Hunedoara,QUALIFYING,Romania (România),Cyprus (Κύπρος),3-1,2-1
1984-FRANCE,1982,Messina,QUALIFYING,Malta,Iceland (Ísland),2-1,1-0
1984-FRANCE,1982,Reykjavík,QUALIFYING,Iceland (Ísland),Netherlands (Nederland),1-1,0-0
1984-FRANCE,1982,Kuopio,QUALIFYING,Finland (Suomi),Poland (Polska),2-3,0-2
1984-FRANCE,1982,Bucureşti,QUALIFYING,Romania (România),Sweden (Sverige),2-0,1-0
1984-FRANCE,1983,İzmir,QUALIFYING,Turkey (Türkiye),FRG (BRD / Westdeutschland),0-3,0-2
1984-FRANCE,1983,Bruxelles,QUALIFYING,Belgium (België),GDR (DDR / Ostdeutschland),2-1,2-1
1984-FRANCE,1983,Moskva,QUALIFYING,Soviet Union (СССР),Portugal,5-0,2-0
1984-FRANCE,1982,Helsinki,QUALIFYING,Finland (Suomi),Portugal,0-2,0-1
1984-FRANCE,1982,København,QUALIFYING,Denmark (Danmark),England,2-2,0-1
1984-FRANCE,1982,Swansea,QUALIFYING,Wales (Cymru),Norway (Norge),1-0,1-0
1984-FRANCE,1982,Wien,QUALIFYING,Austria (Österreich),Albania (Shqipëri),5-0,2-0
1984-FRANCE,1982,Rotterdam,QUALIFYING,Netherlands (Nederland),Ireland (Éire),2-1,1-0
1984-FRANCE,1982,Aachen,QUALIFYING,Malta,Netherlands (Nederland),0-6,0-4
1984-FRANCE,1984,Lyon,FS_GROUP_STAGE,Denmark (Danmark),Yugoslavia (Југославија),5-0,2-0
1984-FRANCE,1983,Lisboa,QUALIFYING,Portugal,Finland (Suomi),5-0,2-0
1984-FRANCE,1982,Sofija,QUALIFYING,Bulgaria (България),Norway (Norge),2-2,1-1
1984-FRANCE,1984,Paris,FS_FINAL,France,Spain (España),2-0,0-0
1984-FRANCE,1982,Glasgow,QUALIFYING,Scotland,GDR (DDR / Ostdeutschland),2-0,0-0
1984-FRANCE,1982,Moskva,QUALIFYING,Soviet Union (СССР),Finland (Suomi),2-0,1-0
1984-FRANCE,1982,Oslo,QUALIFYING,Norway (Norge),Yugoslavia (Југославија),3-1,1-0
1984-FRANCE,1982,Wien,QUALIFYING,Austria (Österreich),Northern Ireland (Ulster),2-0,2-0
1984-FRANCE,1982,Dublin,QUALIFYING,Ireland (Éire),Iceland (Ísland),2-0,1-0
1984-FRANCE,1982,İzmir,QUALIFYING,Turkey (Türkiye),Albania (Shqipëri),1-0,0-0
1984-FRANCE,1982,Málaga,QUALIFYING,Spain (España),Iceland (Ísland),1-0,0-0
1984-FRANCE,1983,Sevilla,QUALIFYING,Spain (España),Malta,12-1,3-1
1984-FRANCE,1982,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Denmark (Danmark),1-2,0-1
1984-FRANCE,1982,Milano,QUALIFYING,Italy (Italia),Czechoslovakia (Československo),2-2,1-1
1984-FRANCE,1982,Bern,QUALIFYING,Switzerland (Schweiz / Suisse),Scotland,2-0,0-0
1984-FRANCE,1982,Thessaloníkê,QUALIFYING,Greece (Ελλάδα),England,0-3,0-1
1984-FRANCE,1982,Sofija,QUALIFYING,Bulgaria (България),Yugoslavia (Југославија),0-1,0-1
1984-FRANCE,1982,Wien,QUALIFYING,Austria (Österreich),Turkey (Türkiye),4-0,3-0
1984-FRANCE,1982,Belfast,QUALIFYING,Northern Ireland (Ulster),FRG (BRD / Westdeutschland),1-0,1-0
1984-FRANCE,1982,Dublin,QUALIFYING,Ireland (Éire),Spain (España),3-3,1-1
1984-FRANCE,1982,Firenze,QUALIFYING,Italy (Italia),Romania (România),0-0,0-0
1984-FRANCE,1982,Levkosía,QUALIFYING,Cyprus (Κύπρος),Sweden (Sverige),0-1,0-1
1984-FRANCE,1984,Strasbourg,FS_GROUP_STAGE,FRG (BRD / Westdeutschland),Portugal,0-0,0-0
1984-FRANCE,1984,Saint-Étienne,FS_GROUP_STAGE,Spain (España),Romania (România),1-1,1-1
1984-FRANCE,1984,Paris,FS_GROUP_STAGE,France,Denmark (Danmark),1-0,0-0
1984-FRANCE,1984,Lens,FS_GROUP_STAGE,FRG (BRD / Westdeutschland),Romania (România),2-1,1-0
1984-FRANCE,1983,Groningen,QUALIFYING,Netherlands (Nederland),Iceland (Ísland),3-0,3-0
1984-FRANCE,1984,Marseille,FS_GROUP_STAGE,Spain (España),Portugal,1-1,0-0
1984-FRANCE,1984,Saint-Étienne,FS_GROUP_STAGE,France,Yugoslavia (Југославија),3-2,0-1
1984-FRANCE,1984,Strasbourg,FS_GROUP_STAGE,Denmark (Danmark),Belgium (België),3-2,1-2
1984-FRANCE,1984,Lens,FS_GROUP_STAGE,Belgium (België),Yugoslavia (Југославија),2-0,2-0
1984-FRANCE,1984,Nantes,FS_GROUP_STAGE,Portugal,Romania (România),1-0,0-0
1984-FRANCE,1984,Marseille,FS_1/2_FINAL,France,Portugal,3-2,1-0
1984-FRANCE,1984,Paris,FS_GROUP_STAGE,Spain (España),FRG (BRD / Westdeutschland),1-0,0-0
1984-FRANCE,1984,Lyon,FS_1/2_FINAL,Spain (España),Denmark (Danmark),1-1,0-1
1984-FRANCE,1982,London,QUALIFYING,England,Luxembourg (Lëtzebuerg),9-0,4-0
1984-FRANCE,1982,Bruxelles,QUALIFYING,Belgium (België),Scotland,3-2,2-2
1984-FRANCE,1983,Perugia,QUALIFYING,Italy (Italia),Cyprus (Κύπρος),3-1,0-0
1988-FRG,1987,Dublin,QUALIFYING,Ireland (Éire),Bulgaria (България),2-0,0-0
1988-FRG,1987,Glasgow,QUALIFYING,Scotland,Belgium (België),2-0,1-0
1988-FRG,1988,Düsseldorf,FS_GROUP_STAGE,England,Netherlands (Nederland),1-3,0-1
1988-FRG,1988,Frankfurt am Main,FS_GROUP_STAGE,Italy (Italia),Spain (España),1-0,0-0
1988-FRG,1988,Gelsenkirchen,FS_GROUP_STAGE,FRG (BRD / Westdeutschland),Denmark (Danmark),2-0,1-0
1988-FRG,1988,Köln,FS_GROUP_STAGE,Netherlands (Nederland),Soviet Union (СССР),0-1,0-0
1988-FRG,1987,København,QUALIFYING,Denmark (Danmark),Wales (Cymru),1-0,0-0
1988-FRG,1987,Zabrze,QUALIFYING,Poland (Polska),Netherlands (Nederland),0-2,0-2
1988-FRG,1987,Budapest,QUALIFYING,Hungary (Magyarország),Greece (Ελλάδα),3-0,3-0
1988-FRG,1987,Paris,QUALIFYING,France,Iceland (Ísland),2-0,1-0
1988-FRG,1988,Stuttgart,FS_GROUP_STAGE,England,Ireland (Éire),0-1,0-1
1988-FRG,1987,London,QUALIFYING,England,Turkey (Türkiye),8-0,4-0
1988-FRG,1987,Paris,QUALIFYING,France,Norway (Norge),1-1,0-0
1988-FRG,1987,Sevilla,QUALIFYING,Spain (España),Austria (Österreich),2-0,0-0
1988-FRG,1987,West-Berlin,QUALIFYING,GDR (DDR / Ostdeutschland),Soviet Union (СССР),1-1,1-0
1988-FRG,1986,Karl-Marx-Stadt,QUALIFYING,GDR (DDR / Ostdeutschland),Iceland (Ísland),2-0,1-0
1988-FRG,1986,Simferopol,QUALIFYING,Soviet Union (СССР),Norway (Norge),4-0,3-0
1988-FRG,1986,Split,QUALIFYING,Yugoslavia (Југославија),Turkey (Türkiye),4-0,2-0
1988-FRG,1986,København,QUALIFYING,Denmark (Danmark),Finland (Suomi),1-0,0-0
1988-FRG,1986,Sevilla,QUALIFYING,Spain (España),Romania (România),1-0,0-0
1988-FRG,1986,Lemesós,QUALIFYING,Cyprus (Κύπρος),Netherlands (Nederland),0-2,0-1
1988-FRG,1987,Athína,QUALIFYING,Greece (Ελλάδα),Cyprus (Κύπρος),3-1,0-0
1988-FRG,1987,Bergamo,QUALIFYING,Italy (Italia),Malta,5-0,5-0
1988-FRG,1987,Sarajevo,QUALIFYING,Yugoslavia (Југославија),Northern Ireland (Ulster),3-0,2-0
1988-FRG,1988,Hannover,FS_GROUP_STAGE,Denmark (Danmark),Spain (España),2-3,1-1
1988-FRG,1987,Lemesós,QUALIFYING,Cyprus (Κύπρος),Poland (Polska),0-1,0-0
1988-FRG,1987,Vlorë,QUALIFYING,Albania (Shqipëri),Romania (România),0-1,0-0
1988-FRG,1986,Paris,QUALIFYING,France,Soviet Union (СССР),0-2,0-0
1988-FRG,1986,Lisboa,QUALIFYING,Portugal,Sweden (Sverige),1-1,0-0
1988-FRG,1986,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Belgium (België),0-6,0-3
1988-FRG,1986,Salzburg,QUALIFYING,Austria (Österreich),Albania (Shqipëri),3-0,1-0
1988-FRG,1986,London,QUALIFYING,England,Northern Ireland (Ulster),3-0,1-0
1988-FRG,1986,Budapest,QUALIFYING,Hungary (Magyarország),Netherlands (Nederland),0-1,0-0
1988-FRG,1986,Poznań,QUALIFYING,Poland (Polska),Greece (Ελλάδα),2-1,2-1
1988-FRG,1986,Brno,QUALIFYING,Czechoslovakia (Československo),Finland (Suomi),3-0,2-0
1988-FRG,1986,Dublin,QUALIFYING,Ireland (Éire),Scotland,0-0,0-0
1988-FRG,1986,Bern,QUALIFYING,Switzerland (Schweiz / Suisse),Portugal,1-1,1-0
1988-FRG,1987,İzmir,QUALIFYING,Turkey (Türkiye),Yugoslavia (Југославија),2-3,0-2
1988-FRG,1987,Amsterdam,QUALIFYING,Netherlands (Nederland),Cyprus (Κύπρος),4-0,2-0
1988-FRG,1987,Milano,QUALIFYING,Italy (Italia),Portugal,3-0,1-0
1988-FRG,1987,Esch-sur-Alzette,QUALIFYING,Luxembourg (Lëtzebuerg),Scotland,0-0,0-0
1988-FRG,1987,Budapest,QUALIFYING,Hungary (Magyarország),Cyprus (Κύπρος),1-0,0-0
1988-FRG,1987,Paris,QUALIFYING,France,GDR (DDR / Ostdeutschland),0-1,0-0
1988-FRG,1987,Sofija,QUALIFYING,Bulgaria (България),Scotland,0-1,0-0
1988-FRG,1987,Napoli,QUALIFYING,Italy (Italia),Sweden (Sverige),2-1,1-1
1988-FRG,1987,TaQali,QUALIFYING,Malta,Switzerland (Schweiz / Suisse),1-1,0-1
1988-FRG,1986,Oslo,QUALIFYING,Norway (Norge),GDR (DDR / Ostdeutschland),0-0,0-0
1988-FRG,1986,Reykjavík,QUALIFYING,Iceland (Ísland),Soviet Union (СССР),1-1,1-1
1988-FRG,1986,Stockholm,QUALIFYING,Sweden (Sverige),Switzerland (Schweiz / Suisse),2-0,1-0
1988-FRG,1986,Glasgow,QUALIFYING,Scotland,Bulgaria (България),0-0,0-0
1988-FRG,1987,Magdeburg,QUALIFYING,GDR (DDR / Ostdeutschland),Norway (Norge),3-1,2-1
1988-FRG,1987,Simferopol,QUALIFYING,Soviet Union (СССР),Iceland (Ísland),2-0,1-0
1988-FRG,1987,Porto,QUALIFYING,Portugal,Switzerland (Schweiz / Suisse),0-0,0-0
1988-FRG,1987,Beograd,QUALIFYING,Yugoslavia (Југославија),England,1-4,0-4
1988-FRG,1987,Belfast,QUALIFYING,Northern Ireland (Ulster),Turkey (Türkiye),1-0,0-0
1988-FRG,1987,Levkosía,QUALIFYING,Cyprus (Κύπρος),Hungary (Magyarország),0-1,0-0
1988-FRG,1987,Praha,QUALIFYING,Czechoslovakia (Československo),Wales (Cymru),2-0,1-0
1988-FRG,1987,Bruxelles,QUALIFYING,Belgium (België),Luxembourg (Lëtzebuerg),3-0,1-0
1988-FRG,1988,Hannover,FS_GROUP_STAGE,Ireland (Éire),Soviet Union (СССР),1-1,1-0
1988-FRG,1987,Bern,QUALIFYING,Switzerland (Schweiz / Suisse),Italy (Italia),0-0,0-0
1988-FRG,1988,München,FS_GROUP_STAGE,FRG (BRD / Westdeutschland),Spain (España),2-0,1-0
1988-FRG,1988,Frankfurt am Main,FS_GROUP_STAGE,England,Soviet Union (СССР),1-3,1-2
1988-FRG,1988,Gelsenkirchen,FS_GROUP_STAGE,Ireland (Éire),Netherlands (Nederland),0-1,0-0
1988-FRG,1988,Hamburg,FS_1/2_FINAL,FRG (BRD / Westdeutschland),Netherlands (Nederland),1-2,0-0
1988-FRG,1988,Stuttgart,FS_1/2_FINAL,Soviet Union (СССР),Italy (Italia),2-0,0-0
1988-FRG,1988,München,FS_FINAL,Netherlands (Nederland),Soviet Union (СССР),2-0,1-0
1988-FRG,1988,Düsseldorf,FS_GROUP_STAGE,FRG (BRD / Westdeutschland),Italy (Italia),1-1,0-0
1988-FRG,1987,TaQali,QUALIFYING,Malta,Portugal,0-1,0-0
1988-FRG,1987,Rhódos,QUALIFYING,Greece (Ελλάδα),Netherlands (Nederland),0-3,0-1
1988-FRG,1986,Bruxelles,QUALIFYING,Belgium (België),Ireland (Éire),2-2,1-1
1988-FRG,1988,Köln,FS_GROUP_STAGE,Italy (Italia),Denmark (Danmark),2-0,0-0
1988-FRG,1987,Lisboa,QUALIFYING,Portugal,Italy (Italia),0-1,0-1
1988-FRG,1987,Glasgow,QUALIFYING,Scotland,Ireland (Éire),0-1,0-1
1988-FRG,1987,Bucureşti,QUALIFYING,Romania (România),Albania (Shqipëri),5-1,3-1
1988-FRG,1987,Bruxelles,QUALIFYING,Belgium (België),Scotland,4-1,1-1
1988-FRG,1987,Sofija,QUALIFYING,Bulgaria (България),Ireland (Éire),2-1,1-0
1988-FRG,1987,Wrexham,QUALIFYING,Wales (Cymru),Finland (Suomi),4-0,2-0
1988-FRG,1987,Belfast,QUALIFYING,Northern Ireland (Ulster),England,0-2,0-2
1988-FRG,1987,Sevilla,QUALIFYING,Spain (España),Albania (Shqipëri),5-0,3-0
1988-FRG,1987,Funchal,QUALIFYING,Portugal,Malta,2-2,1-1
1988-FRG,1986,Leipzig,QUALIFYING,GDR (DDR / Ostdeutschland),France,0-0,0-0
1988-FRG,1986,Amsterdam,QUALIFYING,Netherlands (Nederland),Poland (Polska),0-0,0-0
1988-FRG,1987,Rotterdam,QUALIFYING,Netherlands (Nederland),Greece (Ελλάδα),1-1,0-1
1988-FRG,1986,Bruxelles,QUALIFYING,Belgium (België),Bulgaria (България),1-1,0-0
1988-FRG,1986,Tiranë,QUALIFYING,Albania (Shqipëri),Spain (España),1-2,1-0
1988-FRG,1986,Levkosía,QUALIFYING,Cyprus (Κύπρος),Greece (Ελλάδα),2-4,2-1
1988-FRG,1986,TaQali,QUALIFYING,Malta,Italy (Italia),0-2,0-2
1988-FRG,1987,Sofija,QUALIFYING,Bulgaria (България),Belgium (België),2-0,1-0
1988-FRG,1987,Warszawa,QUALIFYING,Poland (Polska),Hungary (Magyarország),3-2,1-1
1988-FRG,1987,Gdańsk,QUALIFYING,Poland (Polska),Cyprus (Κύπρος),0-0,0-0
1988-FRG,1987,Oslo,QUALIFYING,Norway (Norge),Iceland (Ísland),0-1,0-1
1988-FRG,1987,Neuchâtel,QUALIFYING,Switzerland (Schweiz / Suisse),Malta,4-1,3-0
1988-FRG,1987,Tiranë,QUALIFYING,Albania (Shqipëri),Austria (Österreich),0-1,0-1
1988-FRG,1986,London,QUALIFYING,England,Yugoslavia (Југославија),2-0,1-0
1988-FRG,1986,İzmir,QUALIFYING,Turkey (Türkiye),Northern Ireland (Ulster),0-0,0-0
1988-FRG,1986,Athína,QUALIFYING,Greece (Ελλάδα),Hungary (Magyarország),2-1,1-0
1988-FRG,1986,Bratislava,QUALIFYING,Czechoslovakia (Československo),Denmark (Danmark),0-0,0-0
1988-FRG,1986,Glasgow,QUALIFYING,Scotland,Luxembourg (Lëtzebuerg),3-0,2-0
1988-FRG,1986,Milano,QUALIFYING,Italy (Italia),Switzerland (Schweiz / Suisse),3-2,1-1
1988-FRG,1987,Dublin,QUALIFYING,Ireland (Éire),Belgium (België),0-0,0-0
1988-FRG,1987,Helsinki,QUALIFYING,Finland (Suomi),Denmark (Danmark),0-1,0-0
1988-FRG,1987,Wrexham,QUALIFYING,Wales (Cymru),Czechoslovakia (Československo),1-1,0-0
1988-FRG,1987,Athína,QUALIFYING,Greece (Ελλάδα),Poland (Polska),1-0,0-0
1988-FRG,1987,Rotterdam,QUALIFYING,Netherlands (Nederland),Hungary (Magyarország),2-0,2-0
1988-FRG,1987,Belfast,QUALIFYING,Northern Ireland (Ulster),Yugoslavia (Југославија),1-2,1-0
1988-FRG,1987,İzmir,QUALIFYING,Turkey (Türkiye),England,0-0,0-0
1988-FRG,1986,TaQali,QUALIFYING,Malta,Sweden (Sverige),0-5,0-1
1988-FRG,1987,Kyïv,QUALIFYING,Soviet Union (СССР),GDR (DDR / Ostdeutschland),2-0,1-0
1988-FRG,1987,Bucureşti,QUALIFYING,Romania (România),Spain (España),3-1,3-0
1988-FRG,1987,Stockholm,QUALIFYING,Sweden (Sverige),Portugal,0-1,0-1
1988-FRG,1987,Wien,QUALIFYING,Austria (Österreich),Spain (España),2-3,1-1
1988-FRG,1987,Cardiff,QUALIFYING,Wales (Cymru),Denmark (Danmark),1-0,1-0
1988-FRG,1986,Helsinki,QUALIFYING,Finland (Suomi),Wales (Cymru),1-1,1-0
1988-FRG,1986,Reykjavík,QUALIFYING,Iceland (Ísland),France,0-0,0-0
1988-FRG,1986,Bucureşti,QUALIFYING,Romania (România),Austria (Österreich),4-0,1-0
1988-FRG,1987,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Bulgaria (България),1-4,0-0
1988-FRG,1987,Budapest,QUALIFYING,Hungary (Magyarország),Poland (Polska),5-3,1-1
1988-FRG,1987,Dublin,QUALIFYING,Ireland (Éire),Luxembourg (Lëtzebuerg),2-1,1-1
1988-FRG,1987,Sofija,QUALIFYING,Bulgaria (България),Luxembourg (Lëtzebuerg),3-0,2-0
1988-FRG,1987,Göteborg,QUALIFYING,Sweden (Sverige),Malta,1-0,1-0
1988-FRG,1987,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Ireland (Éire),0-2,0-1
1988-FRG,1987,Stockholm,QUALIFYING,Sweden (Sverige),Italy (Italia),1-0,1-0
1988-FRG,1987,Wien,QUALIFYING,Austria (Österreich),Romania (România),0-0,0-0
1988-FRG,1987,Oslo,QUALIFYING,Norway (Norge),France,2-0,0-0
1988-FRG,1987,Lausanne,QUALIFYING,Switzerland (Schweiz / Suisse),Sweden (Sverige),1-1,0-0
1988-FRG,1987,Moskva,QUALIFYING,Soviet Union (СССР),France,1-1,0-1
1988-FRG,1987,Reykjavík,QUALIFYING,Iceland (Ísland),Norway (Norge),2-1,1-1
1988-FRG,1987,Helsinki,QUALIFYING,Finland (Suomi),Czechoslovakia (Československo),3-0,1-0
1988-FRG,1987,København,QUALIFYING,Denmark (Danmark),Czechoslovakia (Československo),1-1,1-0
1988-FRG,1987,Reykjavík,QUALIFYING,Iceland (Ísland),GDR (DDR / Ostdeutschland),0-6,0-2
1988-FRG,1987,Oslo,QUALIFYING,Norway (Norge),Soviet Union (СССР),0-1,0-1
1992-SWEDEN,1990,Serravalle,QUALIFYING,San Marino,Switzerland (Schweiz / Suisse),0-4,0-3
1992-SWEDEN,1990,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Wales (Cymru),0-1,0-1
1992-SWEDEN,1990,Dublin,QUALIFYING,Ireland (Éire),England,1-1,0-0
1992-SWEDEN,1990,İstanbul,QUALIFYING,Turkey (Türkiye),Poland (Polska),0-1,0-1
1992-SWEDEN,1990,Tiranë,QUALIFYING,Albania (Shqipëri),France,0-1,0-1
1992-SWEDEN,1990,Rotterdam,QUALIFYING,Netherlands (Nederland),Greece (Ελλάδα),2-0,2-0
1992-SWEDEN,1990,TaQali,QUALIFYING,Malta,Finland (Suomi),1-1,0-0
1992-SWEDEN,1991,Porto,QUALIFYING,Portugal,Malta,5-0,3-0
1992-SWEDEN,1991,Paris,QUALIFYING,France,Spain (España),3-1,1-1
1992-SWEDEN,1991,TaQali,QUALIFYING,Malta,Portugal,0-1,0-1
1992-SWEDEN,1990,Bucureşti,QUALIFYING,Romania (România),San Marino,6-0,3-0
1992-SWEDEN,1990,Sevilla,QUALIFYING,Spain (España),Albania (Shqipëri),9-0,4-0
1992-SWEDEN,1990,TaQali,QUALIFYING,Malta,Netherlands (Nederland),0-8,0-3
1992-SWEDEN,1990,Lemesós,QUALIFYING,Cyprus (Κύπρος),Italy (Italia),0-4,0-3
1992-SWEDEN,1991,Athína,QUALIFYING,Greece (Ελλάδα),Portugal,3-2,1-1
1992-SWEDEN,1991,Helsinki,QUALIFYING,Finland (Suomi),Greece (Ελλάδα),1-1,0-0
1992-SWEDEN,1991,Wien,QUALIFYING,Austria (Österreich),Denmark (Danmark),0-3,0-3
1992-SWEDEN,1991,Landskrona,QUALIFYING,Faroe Islands (Føroyar),Denmark (Danmark),0-4,0-2
1992-SWEDEN,1991,Moskva,QUALIFYING,Soviet Union (СССР),Hungary (Magyarország),2-2,1-1
1992-SWEDEN,1991,Reykjavík,QUALIFYING,Iceland (Ísland),Spain (España),2-0,0-0
1992-SWEDEN,1991,Salzburg,QUALIFYING,Austria (Österreich),Faroe Islands (Føroyar),3-0,1-0
1992-SWEDEN,1991,Tiranë,QUALIFYING,Albania (Shqipëri),Iceland (Ísland),1-0,0-0
1992-SWEDEN,1991,Reykjavík,QUALIFYING,Iceland (Ísland),Czechoslovakia (Československo),0-1,0-1
1992-SWEDEN,1991,Landskrona,QUALIFYING,Faroe Islands (Føroyar),Northern Ireland (Ulster),0-5,0-3
1992-SWEDEN,1990,Levkosía,QUALIFYING,Cyprus (Κύπρος),Norway (Norge),0-3,0-1
1992-SWEDEN,1990,Wien,QUALIFYING,Austria (Österreich),Northern Ireland (Ulster),0-0,0-0
1992-SWEDEN,1990,København,QUALIFYING,Denmark (Danmark),Yugoslavia (Југославија),0-2,0-0
1992-SWEDEN,1991,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Belgium (België),0-2,0-1
1992-SWEDEN,1990,Reykjavík,QUALIFYING,Iceland (Ísland),Albania (Shqipëri),2-0,1-0
1992-SWEDEN,1990,Reykjavík,QUALIFYING,Iceland (Ísland),France,1-2,0-1
1992-SWEDEN,1990,Genève,QUALIFYING,Switzerland (Schweiz / Suisse),Bulgaria (България),2-0,1-0
1992-SWEDEN,1990,Glasgow,QUALIFYING,Scotland,Romania (România),2-1,1-1
1992-SWEDEN,1990,Moskva,QUALIFYING,Soviet Union (СССР),Norway (Norge),2-0,1-0
1992-SWEDEN,1990,Belfast,QUALIFYING,Northern Ireland (Ulster),Yugoslavia (Југославија),0-2,0-1
1992-SWEDEN,1990,Landskrona,QUALIFYING,Faroe Islands (Føroyar),Austria (Österreich),1-0,0-0
1992-SWEDEN,1991,Moskva,QUALIFYING,Soviet Union (СССР),Cyprus (Κύπρος),4-0,1-0
1992-SWEDEN,1990,Helsinki,QUALIFYING,Finland (Suomi),Portugal,0-0,0-0
1992-SWEDEN,1990,Sevilla,QUALIFYING,Spain (España),Iceland (Ísland),2-1,1-0
1992-SWEDEN,1990,Bergen,QUALIFYING,Norway (Norge),Hungary (Magyarország),0-0,0-0
